year,month,day,region,iso_country_code,total_visits,total_devices_seen,total_home_visits,total_home_visitors
2021,9,4,wi,US,905252,287628,328954,196516
2021,9,4,wv,US,297843,97925,118496,70272
2021,9,4,wy,US,84993,28862,29063,17961
2021,9,4,yt,CA,185,144,185,144
2021,9,5,ALL,"",50799344,15683646,20366833,11990415
2021,9,5,ALL_CA,CA,437824,280118,437824,280118
2021,9,5,ALL_US,US,50361520,15403697,19929009,11710297
2021,9,5,ab,CA,59950,38687,59950,38687
2021,9,5,ak,US,55577,21464,22697,15082
2021,9,5,al,US,1309716,400215,555441,315149
2021,9,5,ar,US,699505,223544,302902,173641
2021,9,5,as,US,4,4,3,3
2021,9,5,az,US,982104,304818,373475,229338
2021,9,5,bc,CA,56048,37108,56048,37108
2021,9,5,ca,US,4270057,1279379,1542099,949648
2021,9,5,co,US,817203,255699,287296,171396
2021,9,5,ct,US,385914,133860,160931,95464
2021,9,5,dc,US,64199,29191,13520,8904
2021,9,5,de,US,140460,50114,53690,32447
2021,9,5,fl,US,3813540,1106260,1389451,812519
2021,9,5,ga,US,2190755,650129,862376,489109
2021,9,5,gu,US,32,32,30,30
2021,9,5,hi,US,194764,55443,62581,39944
2021,9,5,ia,US,648887,213978,272075,155344
2021,9,5,id,US,222630,82121,97681,60372
2021,9,5,il,US,1993001,626664,793715,458930
2021,9,5,in,US,1192405,380511,500043,286527
2021,9,5,ks,US,567446,180499,246302,138981
2021,9,5,ky,US,789444,260653,334296,196711
2021,9,5,la,US,808550,254113,343763,193993
2021,9,5,ma,US,660590,231836,255030,152718
2021,9,5,mb,CA,19585,12463,19585,12463
2021,9,5,md,US,702708,242534,278438,169155
2021,9,5,me,US,158596,56138,67500,40806
2021,9,5,mi,US,1376365,465611,580558,341615
2021,9,5,mn,US,737566,251142,293900,175882
2021,9,5,mo,US,1324257,413311,521746,298257
2021,9,5,mp,US,14,14,14,14
2021,9,5,ms,US,706458,220961,304225,171757
2021,9,5,mt,US,118900,44636,47914,30894
2021,9,5,nb,CA,7977,5036,7977,5036
2021,9,5,nc,US,1747552,546269,722915,413986
2021,9,5,nd,US,105034,37872,45211,27249
2021,9,5,ne,US,395363,124769,158317,89586
2021,9,5,nh,US,172210,61477,68125,40742
2021,9,5,nj,US,1220819,399346,494910,286553
2021,9,5,nl,CA,5218,3321,5218,3321
2021,9,5,nm,US,230841,84818,89805,55750
2021,9,5,ns,CA,9801,6331,9801,6331
2021,9,5,nt,CA,214,155,214,155
2021,9,5,nu,CA,109,76,109,76
2021,9,5,nv,US,573773,155242,159564,99467
2021,9,5,ny,US,2051833,724144,811243,492681
2021,9,5,oh,US,1931542,615044,809065,470386
2021,9,5,ok,US,913595,277893,377516,213965
2021,9,5,on,CA,171412,108323,171412,108323
2021,9,5,or,US,481681,170703,187500,120994
2021,9,5,pa,US,1591947,558512,664112,400561
2021,9,5,pe,CA,1474,946,1474,946
2021,9,5,pr,US,6601,5037,4221,3524
2021,9,5,qc,CA,89716,57174,89716,57174
2021,9,5,ri,US,123673,42906,46357,27388
2021,9,5,sc,US,1085899,333919,435344,246660
2021,9,5,sd,US,143177,48463,56088,33073
2021,9,5,sk,CA,16128,10350,16128,10350
2021,9,5,tn,US,1425904,445356,564980,327632
2021,9,5,tx,US,5625988,1651255,2192865,1260469
2021,9,5,ut,US,362167,134174,160907,97052
2021,9,5,va,US,1182349,381334,470228,275089
2021,9,5,vi,US,104,86,0,0
2021,9,5,vt,US,54263,21359,23218,14280
2021,9,5,wa,US,811474,285878,328173,212145
2021,9,5,wi,US,850553,288542,344162,204135
2021,9,5,wv,US,266762,98413,120582,73569
2021,9,5,wy,US,74769,28630,29909,18736
2021,9,5,yt,CA,192,148,192,148
2021,9,6,ALL,"",49349273,15894703,21822532,12894493
2021,9,6,ALL_CA,CA,459410,304207,459410,304207
2021,9,6,ALL_US,US,48889863,15590690,21363122,12590286
2021,9,6,ab,CA,65982,42775,65982,42775
2021,9,6,ak,US,53923,21527,23283,15840
2021,9,6,al,US,1251617,413173,581410,339241
2021,9,6,ar,US,696988,228889,326641,187382
2021,9,6,as,US,2,2,0,0
2021,9,6,az,US,958727,311368,392171,244634
2021,9,6,bc,CA,58664,38852,58664,38852
2021,9,6,ca,US,4008738,1291599,1602977,1004960
